checking_status,duration_months,credit_history,purpose,credit_amount,savings_status,employment,installment_rate,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,num_existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_risk,credit_risk_label,checking_status_eur,savings_status_eur,credit_amount_eur
>=200 DM / salary assignments,12,all credits at this bank paid duly,radio/television,409,>=1000 DM,1-4 years,3,female : divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee / official,1,none,yes,1,good,>=175 EUR / salary assignments,>=875 EUR,357.93
0-200 DM,7,existing credits paid duly till now,radio/television,2415,<100 DM,1-4 years,3,male : single,guarantor,2,real estate,34,none,own,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,<87 EUR,2113.46
<0 DM,60,delay in paying off in the past,business,6836,<100 DM,>=7 years,3,male : single,none,4,unknown / no property,63,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,5982.44
0-200 DM,18,existing credits paid duly till now,business,1913,>=1000 DM,<1 year,3,male : married/widowed,none,3,real estate,36,bank,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,>=875 EUR,1674.14
<0 DM,24,existing credits paid duly till now,furniture/equipment,4020,<100 DM,1-4 years,2,male : single,none,2,car or other (not in attribute 6),27,stores,own,1,skilled employee / official,1,none,yes,1,good,<0 EUR,<87 EUR,3518.05
0-200 DM,18,existing credits paid duly till now,car (new),5866,100-500 DM,1-4 years,2,male : single,none,2,car or other (not in attribute 6),30,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,87-437 EUR,5133.56
no checking account,12,critical account / other credits,business,1264,unknown / no savings account,>=7 years,4,male : single,none,4,unknown / no property,57,none,rent,1,unskilled resident,1,none,yes,1,good,no checking account,unknown / no savings account,1106.17
>=200 DM / salary assignments,12,existing credits paid duly till now,furniture/equipment,1474,<100 DM,<1 year,4,female : divorced/separated/married,none,1,building society savings / life insurance,33,bank,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,>=175 EUR / salary assignments,<87 EUR,1289.95
0-200 DM,45,critical account / other credits,radio/television,4746,<100 DM,<1 year,4,male : single,none,2,building society savings / life insurance,25,none,own,2,unskilled resident,1,none,yes,2,bad,0-175 EUR,<87 EUR,4153.41
no checking account,48,critical account / other credits,education,6110,<100 DM,1-4 years,1,male : single,none,3,unknown / no property,31,bank,for free,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,5347.09
>=200 DM / salary assignments,18,existing credits paid duly till now,radio/television,2100,<100 DM,1-4 years,4,male : single,co-applicant,2,real estate,37,stores,own,1,skilled employee / official,1,none,yes,2,bad,>=175 EUR / salary assignments,<87 EUR,1837.79
>=200 DM / salary assignments,10,existing credits paid duly till now,domestic appliances,1225,<100 DM,1-4 years,2,male : single,none,2,car or other (not in attribute 6),37,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,>=175 EUR / salary assignments,<87 EUR,1072.04
0-200 DM,9,existing credits paid duly till now,radio/television,458,<100 DM,1-4 years,4,male : single,none,3,real estate,24,none,own,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,<87 EUR,400.81
no checking account,30,existing credits paid duly till now,radio/television,2333,500-1000 DM,>=7 years,4,male : single,none,2,car or other (not in attribute 6),30,bank,own,1,management / self-employed / highly qualified,1,none,yes,1,good,no checking account,437-875 EUR,2041.7
0-200 DM,12,existing credits paid duly till now,radio/television,1158,500-1000 DM,1-4 years,3,male : divorced/separated,none,1,car or other (not in attribute 6),26,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,437-875 EUR,1013.41
0-200 DM,18,delay in paying off in the past,repairs,6204,<100 DM,1-4 years,2,male : single,none,4,real estate,44,none,own,1,unskilled resident,2,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,5429.36
<0 DM,30,critical account / other credits,car (used),6187,100-500 DM,4-7 years,1,male : married/widowed,none,4,car or other (not in attribute 6),24,none,rent,2,skilled employee / official,1,none,yes,1,good,<0 EUR,87-437 EUR,5414.48
<0 DM,48,critical account / other credits,car (used),6143,<100 DM,>=7 years,4,female : divorced/separated/married,none,4,unknown / no property,58,stores,for free,2,unskilled resident,1,none,yes,2,bad,<0 EUR,<87 EUR,5375.97
no checking account,11,critical account / other credits,car (new),1393,<100 DM,<1 year,4,female : divorced/separated/married,none,4,car or other (not in attribute 6),35,none,own,2,management / self-employed / highly qualified,1,none,yes,1,good,no checking account,<87 EUR,1219.07
no checking account,36,existing credits paid duly till now,radio/television,2299,500-1000 DM,>=7 years,4,male : single,none,4,car or other (not in attribute 6),39,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,437-875 EUR,2011.94
<0 DM,6,existing credits paid duly till now,car (used),1352,500-1000 DM,unemployed,1,female : divorced/separated/married,none,2,building society savings / life insurance,23,none,rent,1,unemployed / unskilled non-resident,1,"yes, registered under customer name",yes,1,good,<0 EUR,437-875 EUR,1183.19
no checking account,11,critical account / other credits,car (new),7228,<100 DM,1-4 years,1,male : single,none,4,building society savings / life insurance,39,none,own,2,unskilled resident,1,none,yes,1,good,no checking account,<87 EUR,6325.5
no checking account,12,existing credits paid duly till now,radio/television,2073,100-500 DM,1-4 years,4,female : divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,87-437 EUR,1814.16
0-200 DM,24,delay in paying off in the past,furniture/equipment,2333,unknown / no savings account,<1 year,4,male : single,none,2,building society savings / life insurance,29,bank,own,1,unskilled resident,1,none,yes,1,good,0-175 EUR,unknown / no savings account,2041.7
0-200 DM,27,delay in paying off in the past,car (used),5965,<100 DM,>=7 years,1,male : single,none,2,car or other (not in attribute 6),30,none,own,2,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,5220.2
no checking account,12,existing credits paid duly till now,radio/television,1262,<100 DM,1-4 years,3,male : single,none,2,car or other (not in attribute 6),25,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,1104.42
no checking account,18,existing credits paid duly till now,car (used),3378,unknown / no savings account,1-4 years,2,male : single,none,1,building society savings / life insurance,31,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,2956.22
0-200 DM,36,delay in paying off in the past,car (new),2225,<100 DM,>=7 years,4,male : single,none,4,unknown / no property,57,bank,for free,2,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,0-175 EUR,<87 EUR,1947.18
no checking account,6,all credits at this bank paid duly,car (new),783,unknown / no savings account,1-4 years,1,male : single,guarantor,2,real estate,26,stores,own,1,unskilled resident,2,none,yes,1,good,no checking account,unknown / no savings account,685.23
0-200 DM,12,existing credits paid duly till now,radio/television,6468,unknown / no savings account,unemployed,2,male : single,none,1,unknown / no property,52,none,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,2,bad,0-175 EUR,unknown / no savings account,5660.39
no checking account,36,critical account / other credits,radio/television,9566,<100 DM,1-4 years,2,female : divorced/separated/married,none,2,car or other (not in attribute 6),31,stores,own,2,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,8371.57
>=200 DM / salary assignments,18,existing credits paid duly till now,car (new),1961,<100 DM,>=7 years,3,female : divorced/separated/married,none,2,car or other (not in attribute 6),23,none,own,1,management / self-employed / highly qualified,1,none,yes,1,good,>=175 EUR / salary assignments,<87 EUR,1716.15
<0 DM,36,critical account / other credits,furniture/equipment,6229,<100 DM,<1 year,4,female : divorced/separated/married,co-applicant,4,unknown / no property,23,none,rent,2,unskilled resident,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,5451.23
0-200 DM,9,existing credits paid duly till now,business,1391,<100 DM,1-4 years,2,male : married/widowed,none,1,real estate,27,bank,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,1217.32
0-200 DM,15,critical account / other credits,radio/television,1537,unknown / no savings account,>=7 years,4,male : single,guarantor,4,real estate,50,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,unknown / no savings account,1345.09
0-200 DM,36,no credits taken / all paid duly,business,1953,<100 DM,>=7 years,4,male : single,none,4,unknown / no property,61,none,for free,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,2,bad,0-175 EUR,<87 EUR,1709.14
0-200 DM,48,no credits taken / all paid duly,business,14421,<100 DM,1-4 years,2,male : single,none,2,car or other (not in attribute 6),25,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,0-175 EUR,<87 EUR,12620.37
no checking account,24,existing credits paid duly till now,radio/television,3181,<100 DM,<1 year,4,female : divorced/separated/married,none,4,building society savings / life insurance,26,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,2783.81
no checking account,27,existing credits paid duly till now,repairs,5190,unknown / no savings account,>=7 years,4,male : single,none,4,building society savings / life insurance,48,none,own,4,skilled employee / official,2,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,4541.97
no checking account,12,existing credits paid duly till now,radio/television,2171,<100 DM,<1 year,2,female : divorced/separated/married,none,2,car or other (not in attribute 6),29,bank,own,1,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,1899.92
0-200 DM,12,existing credits paid duly till now,car (new),1007,>=1000 DM,1-4 years,4,male : married/widowed,none,1,real estate,22,none,own,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,>=875 EUR,881.26
no checking account,36,existing credits paid duly till now,education,1819,<100 DM,1-4 years,4,male : single,none,4,unknown / no property,37,stores,for free,1,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,no checking account,<87 EUR,1591.88
no checking account,36,existing credits paid duly till now,radio/television,2394,unknown / no savings account,1-4 years,4,female : divorced/separated/married,none,4,car or other (not in attribute 6),25,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,unknown / no savings account,2095.08
no checking account,36,existing credits paid duly till now,car (used),8133,<100 DM,1-4 years,1,female : divorced/separated/married,none,2,building society savings / life insurance,30,bank,own,1,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,7117.5
no checking account,7,critical account / other credits,radio/television,730,unknown / no savings account,>=7 years,4,male : single,none,2,building society savings / life insurance,46,none,rent,2,unskilled resident,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,638.85
<0 DM,8,critical account / other credits,others,1164,<100 DM,>=7 years,3,male : single,none,4,unknown / no property,51,bank,for free,2,management / self-employed / highly qualified,2,"yes, registered under customer name",yes,1,good,<0 EUR,<87 EUR,1018.66
0-200 DM,42,critical account / other credits,business,5954,<100 DM,4-7 years,2,female : divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled resident,1,none,yes,1,good,0-175 EUR,<87 EUR,5210.57
<0 DM,36,existing credits paid duly till now,education,1977,unknown / no savings account,>=7 years,4,male : single,none,4,unknown / no property,40,none,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,2,bad,<0 EUR,unknown / no savings account,1730.15
<0 DM,12,critical account / other credits,car (used),1526,<100 DM,>=7 years,4,male : single,none,4,unknown / no property,66,none,for free,2,management / self-employed / highly qualified,1,none,yes,1,good,<0 EUR,<87 EUR,1335.46
<0 DM,42,existing credits paid duly till now,radio/television,3965,<100 DM,<1 year,4,male : single,none,3,car or other (not in attribute 6),34,none,own,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,3469.92
0-200 DM,11,delay in paying off in the past,radio/television,4771,<100 DM,4-7 years,2,male : single,none,4,building society savings / life insurance,51,none,own,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,<87 EUR,4175.28
no checking account,54,no credits taken / all paid duly,car (used),9436,unknown / no savings account,1-4 years,2,male : single,none,2,building society savings / life insurance,39,none,own,1,unskilled resident,2,none,yes,1,good,no checking account,unknown / no savings account,8257.8
0-200 DM,30,existing credits paid duly till now,furniture/equipment,3832,<100 DM,<1 year,2,male : married/widowed,none,1,building society savings / life insurance,22,none,own,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,<87 EUR,3353.53
no checking account,24,existing credits paid duly till now,radio/television,5943,unknown / no savings account,<1 year,1,female : divorced/separated/married,none,1,car or other (not in attribute 6),44,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,no checking account,unknown / no savings account,5200.95
no checking account,15,existing credits paid duly till now,radio/television,1213,500-1000 DM,>=7 years,4,male : single,none,3,building society savings / life insurance,47,stores,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,437-875 EUR,1061.54
no checking account,18,existing credits paid duly till now,business,1568,100-500 DM,1-4 years,3,female : divorced/separated/married,none,4,building society savings / life insurance,24,none,rent,1,unskilled resident,1,none,yes,1,good,no checking account,87-437 EUR,1372.22
<0 DM,24,existing credits paid duly till now,others,1755,<100 DM,>=7 years,4,female : divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled resident,1,"yes, registered under customer name",yes,1,good,<0 EUR,<87 EUR,1535.87
<0 DM,10,existing credits paid duly till now,radio/television,2315,<100 DM,>=7 years,3,male : single,none,4,real estate,52,none,own,1,unskilled resident,1,none,yes,1,good,<0 EUR,<87 EUR,2025.94
no checking account,12,critical account / other credits,business,1412,<100 DM,1-4 years,4,female : divorced/separated/married,guarantor,2,real estate,29,none,own,2,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,1235.69
0-200 DM,18,critical account / other credits,furniture/equipment,1295,<100 DM,<1 year,4,female : divorced/separated/married,none,1,building society savings / life insurance,27,none,own,2,skilled employee / official,1,none,yes,1,good,0-175 EUR,<87 EUR,1133.3
0-200 DM,36,existing credits paid duly till now,education,12612,100-500 DM,1-4 years,1,male : single,none,4,unknown / no property,47,none,for free,1,skilled employee / official,2,"yes, registered under customer name",yes,2,bad,0-175 EUR,87-437 EUR,11037.24
<0 DM,18,existing credits paid duly till now,car (new),2249,100-500 DM,4-7 years,4,male : single,none,3,car or other (not in attribute 6),30,none,own,1,management / self-employed / highly qualified,2,"yes, registered under customer name",yes,1,good,<0 EUR,87-437 EUR,1968.19
<0 DM,12,no credits taken / all paid duly,repairs,1108,<100 DM,4-7 years,4,male : single,none,3,real estate,28,none,own,2,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,969.65
no checking account,12,critical account / other credits,radio/television,618,<100 DM,>=7 years,4,male : single,none,4,real estate,56,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,540.84
<0 DM,12,critical account / other credits,car (used),1409,<100 DM,>=7 years,4,male : single,none,3,real estate,54,none,own,1,skilled employee / official,1,none,yes,1,good,<0 EUR,<87 EUR,1233.07
no checking account,12,critical account / other credits,radio/television,797,unknown / no savings account,>=7 years,4,female : divorced/separated/married,none,3,building society savings / life insurance,33,bank,own,1,unskilled resident,2,none,yes,2,bad,no checking account,unknown / no savings account,697.49
>=200 DM / salary assignments,24,critical account / other credits,furniture/equipment,3617,unknown / no savings account,>=7 years,4,male : single,co-applicant,4,unknown / no property,20,none,rent,2,skilled employee / official,1,none,yes,1,good,>=175 EUR / salary assignments,unknown / no savings account,3165.37
0-200 DM,12,existing credits paid duly till now,car (new),1318,>=1000 DM,>=7 years,4,male : single,none,4,real estate,54,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,>=875 EUR,1153.43
0-200 DM,54,no credits taken / all paid duly,business,15945,<100 DM,<1 year,3,male : single,none,4,unknown / no property,58,none,rent,1,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,0-175 EUR,<87 EUR,13954.08
no checking account,12,critical account / other credits,education,2012,unknown / no savings account,4-7 years,4,female : divorced/separated/married,none,2,car or other (not in attribute 6),61,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,unknown / no savings account,1760.78
0-200 DM,18,existing credits paid duly till now,business,2622,100-500 DM,1-4 years,4,male : single,none,4,car or other (not in attribute 6),34,none,own,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,87-437 EUR,2294.61
0-200 DM,36,critical account / other credits,radio/television,2337,<100 DM,>=7 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,<87 EUR,2045.2
0-200 DM,20,delay in paying off in the past,car (used),7057,unknown / no savings account,4-7 years,3,male : single,none,4,building society savings / life insurance,36,bank,rent,2,management / self-employed / highly qualified,2,"yes, registered under customer name",yes,1,good,0-175 EUR,unknown / no savings account,6175.85
no checking account,24,existing credits paid duly till now,car (new),1469,100-500 DM,>=7 years,4,male : married/widowed,none,4,real estate,41,none,rent,1,unskilled resident,1,none,yes,1,good,no checking account,87-437 EUR,1285.58
0-200 DM,36,existing credits paid duly till now,radio/television,2323,<100 DM,4-7 years,4,male : single,none,4,car or other (not in attribute 6),24,none,rent,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,<87 EUR,2032.95
no checking account,6,delay in paying off in the past,radio/television,932,<100 DM,1-4 years,3,female : divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,815.63
0-200 DM,9,critical account / other credits,furniture/equipment,1919,<100 DM,4-7 years,4,male : single,none,3,car or other (not in attribute 6),35,none,rent,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,1679.39
no checking account,12,existing credits paid duly till now,car (used),2445,unknown / no savings account,<1 year,2,male : married/widowed,none,4,car or other (not in attribute 6),26,none,rent,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,2139.71
0-200 DM,24,critical account / other credits,others,11938,<100 DM,1-4 years,2,male : single,co-applicant,3,car or other (not in attribute 6),39,none,own,2,management / self-employed / highly qualified,2,"yes, registered under customer name",yes,2,bad,0-175 EUR,<87 EUR,10447.4
no checking account,18,all credits at this bank paid duly,car (new),6458,<100 DM,>=7 years,2,male : single,none,4,unknown / no property,39,bank,own,2,management / self-employed / highly qualified,2,"yes, registered under customer name",yes,2,bad,no checking account,<87 EUR,5651.64
0-200 DM,12,existing credits paid duly till now,car (new),6078,<100 DM,4-7 years,2,male : single,none,2,car or other (not in attribute 6),32,none,own,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,<87 EUR,5319.09
<0 DM,24,existing credits paid duly till now,furniture/equipment,7721,unknown / no savings account,<1 year,1,female : divorced/separated/married,none,2,building society savings / life insurance,30,none,own,1,skilled employee / official,1,"yes, registered under customer name",no,1,good,<0 EUR,unknown / no savings account,6756.94
0-200 DM,14,existing credits paid duly till now,business,1410,500-1000 DM,>=7 years,1,male : married/widowed,none,2,real estate,35,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,437-875 EUR,1233.94
0-200 DM,6,delay in paying off in the past,business,1449,100-500 DM,>=7 years,1,male : divorced/separated,none,2,car or other (not in attribute 6),31,bank,own,2,skilled employee / official,2,none,yes,1,good,0-175 EUR,87-437 EUR,1268.08
>=200 DM / salary assignments,15,existing credits paid duly till now,education,392,<100 DM,<1 year,4,female : divorced/separated/married,none,4,building society savings / life insurance,23,none,rent,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,>=175 EUR / salary assignments,<87 EUR,343.05
0-200 DM,18,existing credits paid duly till now,car (new),6260,<100 DM,4-7 years,3,male : single,none,3,real estate,28,none,rent,1,unskilled resident,1,none,yes,1,good,0-175 EUR,<87 EUR,5478.36
no checking account,36,critical account / other credits,car (new),7855,<100 DM,1-4 years,4,female : divorced/separated/married,none,2,real estate,25,stores,own,2,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,no checking account,<87 EUR,6874.21
<0 DM,12,existing credits paid duly till now,radio/television,1680,500-1000 DM,>=7 years,3,male : married/widowed,none,1,real estate,35,none,own,1,skilled employee / official,1,none,yes,1,good,<0 EUR,437-875 EUR,1470.23
no checking account,48,critical account / other credits,radio/television,3578,unknown / no savings account,>=7 years,4,male : single,none,1,real estate,47,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,3131.24
<0 DM,42,existing credits paid duly till now,radio/television,7174,unknown / no savings account,4-7 years,4,female : divorced/separated/married,none,3,car or other (not in attribute 6),30,none,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,2,bad,<0 EUR,unknown / no savings account,6278.24
<0 DM,10,critical account / other credits,furniture/equipment,2132,unknown / no savings account,<1 year,2,female : divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee / official,1,none,no,1,good,<0 EUR,unknown / no savings account,1865.79
<0 DM,33,critical account / other credits,furniture/equipment,4281,500-1000 DM,1-4 years,1,female : divorced/separated/married,none,4,car or other (not in attribute 6),23,none,own,2,skilled employee / official,1,none,yes,2,bad,<0 EUR,437-875 EUR,3746.47
0-200 DM,12,critical account / other credits,car (new),2366,500-1000 DM,4-7 years,3,male : divorced/separated,none,3,car or other (not in attribute 6),36,none,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,0-175 EUR,437-875 EUR,2070.58
<0 DM,21,existing credits paid duly till now,radio/television,1835,<100 DM,1-4 years,3,female : divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,1605.88
no checking account,24,critical account / other credits,car (used),3868,<100 DM,>=7 years,4,female : divorced/separated/married,none,2,car or other (not in attribute 6),41,none,rent,2,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,3385.03
